Country,ObservatoryID,UnitID,DateDeployed,DateCollected,EventID,MaterialSampleID,Fraction,Preservative,Filter,CrateCover,Number of associated data files,Number of ENA sequences
ESP,Vigo,TorallaB,25/06/2019,14/10/2019,ARMS_Vigo_TorallaB_20190625_20191014,ARMS_Vigo_TorallaB_20190625_20191014_MF500,Motile,DMSO,500,not provided,18,6
ESP,Vigo,TorallaB,25/06/2019,14/10/2019,ARMS_Vigo_TorallaB_20190625_20191014,ARMS_Vigo_TorallaB_20190625_20191014_SF40,Sessile,DMSO,40,not provided,18,4
ESP,Vigo,TorallaC,25/06/2019,14/10/2019,ARMS_Vigo_TorallaC_20190625_20191014,ARMS_Vigo_TorallaC_20190625_20191014_MF100,Motile,DMSO,100,not provided,18,6
ESP,Vigo,TorallaC,25/06/2019,14/10/2019,ARMS_Vigo_TorallaC_20190625_20191014,ARMS_Vigo_TorallaC_20190625_20191014_MF500,Motile,DMSO,500,not provided,18,6
ESP,Vigo,TorallaC,25/06/2019,14/10/2019,ARMS_Vigo_TorallaC_20190625_20191014,ARMS_Vigo_TorallaC_20190625_20191014_SF40,Sessile,DMSO,40,not provided,18,4
FIN,TZS,Angbat,11/07/2018,06/11/2018,ARMS_TZS_Angbat_20180711_20181106,ARMS_TZS_Angbat_20180711_20181106_MF100_ETOH,Motile,EtOH,100,not provided,105,4
FIN,TZS,Angbat,11/07/2018,06/11/2018,ARMS_TZS_Angbat_20180711_20181106,ARMS_TZS_Angbat_20180711_20181106_MF500_ETOH,Motile,EtOH,500,not provided,105,6
FIN,TZS,Angbat,11/07/2018,06/11/2018,ARMS_TZS_Angbat_20180711_20181106,ARMS_TZS_Angbat_20180711_20181106_SF48_ETOH,Sessile,EtOH,48,not provided,105,4
FIN,TZS,Spikarna,11/07/2018,07/11/2018,ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_20180711_20181107_MF100_ETOH,Motile,EtOH,100,not provided,111,4
FIN,TZS,Spikarna,11/07/2018,07/11/2018,ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_20180711_20181107_MF500_ETOH,Motile,EtOH,500,not provided,111,6
FIN,TZS,Spikarna,11/07/2018,07/11/2018,ARMS_TZS_Spikarna_20180711_20181107,ARMS_TZS_Spikarna_20180711_20181107_SF48_ETOH,Sessile,EtOH,48,not provided,111,4
FRA,Roscoff,BasBloS1,11/07/2018,25/10/2018,ARMS_Roscoff_BasBloS1_20180711_20181025,ARMS_Roscoff_BasBloS1_20180711_20181025_MF100_DMSO,Motile,DMSO,100,not provided,0,4
FRA,Roscoff,BasBloS1,11/07/2018,25/10/2018,ARMS_Roscoff_BasBloS1_20180711_20181025,ARMS_Roscoff_BasBloS1_20180711_20181025_MF500_DMSO,Motile,DMSO,500,not provided,0,4
FRA,Roscoff,BasBloS1,11/07/2018,25/10/2018,ARMS_Roscoff_BasBloS1_20180711_20181025,ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_DMSO_A,Sessile,DMSO,40,not provided,0,6
FRA,Roscoff,BasBloS1,11/07/2018,25/10/2018,ARMS_Roscoff_BasBloS1_20180711_20181025,ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_DMSO_B,Sessile,DMSO,40,not provided,0,4
FRA,Roscoff,BasBloS1,11/07/2018,25/10/2018,ARMS_Roscoff_BasBloS1_20180711_20181025,ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_ETOH_A,Sessile,EtOH,40,not provided,0,6
FRA,Roscoff,BasBloS1,11/07/2018,25/10/2018,ARMS_Roscoff_BasBloS1_20180711_20181025,ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_ETOH_B,Sessile,EtOH,40,not provided,0,4
FRA,Roscoff,BasBloS1,12/06/2019,27/05/2020,ARMS_Roscoff_BasBloS1_20190612_20200527,ARMS_Roscoff_BasBloS1_20190612_20200527_MF100,Motile,DMSO,100,not provided,0,4
FRA,Roscoff,BasBloS1,12/06/2019,27/05/2020,ARMS_Roscoff_BasBloS1_20190612_20200527,ARMS_Roscoff_BasBloS1_20190612_20200527_MF500,Motile,DMSO,500,not provided,0,4
FRA,Roscoff,BasBloS1,12/06/2019,27/05/2020,ARMS_Roscoff_BasBloS1_20190612_20200527,ARMS_Roscoff_BasBloS1_20190612_20200527_SF40,Sessile,DMSO,40,not provided,0,6
FRA,Roscoff,BasBloS2,12/06/2019,28/05/2020,ARMS_Roscoff_BasBloS2_20190612_20200528,ARMS_Roscoff_BasBloS2_20190612_20200528_MF100,Motile,DMSO,100,not provided,0,6
FRA,Roscoff,BasBloS2,12/06/2019,28/05/2020,ARMS_Roscoff_BasBloS2_20190612_20200528,ARMS_Roscoff_BasBloS2_20190612_20200528_MF500,Motile,DMSO,500,not provided,0,6
FRA,Roscoff,BasBloS2,12/06/2019,28/05/2020,ARMS_Roscoff_BasBloS2_20190612_20200528,ARMS_Roscoff_BasBloS2_20190612_20200528_SF40,Sessile,DMSO,40,not provided,0,4
FRA,Roscoff,BasBloS3,12/06/2019,29/05/2020,ARMS_Roscoff_BasBloS3_20190612_20200529,ARMS_Roscoff_BasBloS3_20190612_20200529_MF100,Motile,DMSO,100,not provided,0,6
FRA,Roscoff,BasBloS3,12/06/2019,29/05/2020,ARMS_Roscoff_BasBloS3_20190612_20200529,ARMS_Roscoff_BasBloS3_20190612_20200529_MF500,Motile,DMSO,500,not provided,0,6
FRA,Roscoff,BasBloS3,12/06/2019,29/05/2020,ARMS_Roscoff_BasBloS3_20190612_20200529,ARMS_Roscoff_BasBloS3_20190612_20200529_SF40,Sessile,DMSO,40,not provided,0,6
FRA,Roscoff,MarBloR1,09/07/2018,24/10/2018,ARMS_Roscoff_MarBloR1_20180709_20181024,ARMS_Roscoff_MarBloR1_20180709_20181024_MF100_DMSO,Motile,DMSO,100,not provided,18,4
FRA,Roscoff,MarBloR1,09/07/2018,24/10/2018,ARMS_Roscoff_MarBloR1_20180709_20181024,ARMS_Roscoff_MarBloR1_20180709_20181024_MF100_ETOH,Motile,EtOH,100,not provided,18,4
FRA,Roscoff,MarBloR1,09/07/2018,24/10/2018,ARMS_Roscoff_MarBloR1_20180709_20181024,ARMS_Roscoff_MarBloR1_20180709_20181024_MF500_DMSO,Motile,DMSO,500,not provided,18,4
FRA,Roscoff,MarBloR1,09/07/2018,24/10/2018,ARMS_Roscoff_MarBloR1_20180709_20181024,ARMS_Roscoff_MarBloR1_20180709_20181024_MF500_ETOH,Motile,EtOH,500,not provided,18,4
FRA,Roscoff,MarBloR1,09/07/2018,24/10/2018,ARMS_Roscoff_MarBloR1_20180709_20181024,ARMS_Roscoff_MarBloR1_20180709_20181024_SF40_DMSO,Sessile,DMSO,40,not provided,18,4
FRA,Roscoff,MarBloR1,09/07/2018,24/10/2018,ARMS_Roscoff_MarBloR1_20180709_20181024,ARMS_Roscoff_MarBloR1_20180709_20181024_SF40_ETOH,Sessile,EtOH,40,not provided,18,4
FRA,Roscoff,MarBloR1,12/06/2019,16/09/2019,ARMS_Roscoff_MarBloR1_20190612_20190916,ARMS_Roscoff_MarBloR1_20190612_20190916_MF100,Motile,DMSO,100,not provided,18,6
FRA,Roscoff,MarBloR1,12/06/2019,16/09/2019,ARMS_Roscoff_MarBloR1_20190612_20190916,ARMS_Roscoff_MarBloR1_20190612_20190916_MF500,Motile,DMSO,500,not provided,18,6
FRA,Roscoff,MarBloR1,12/06/2019,16/09/2019,ARMS_Roscoff_MarBloR1_20190612_20190916,ARMS_Roscoff_MarBloR1_20190612_20190916_SF40,Sessile,DMSO,40,not provided,18,6
